%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.dx,field.dy,field.dz,field.roll,field.pitch,field.yaw,field.dyaw,field.scale,field.ptamState,field.scaleAccuracy,field.droneState,field.batteryPercent
1618582122279062178,957,1618582122278767502,,0.0,0.0,0.678260624409,0.0,0.0,-0.0537913553417,0.0,0.175111740828,0.366360455751,-8.32745933533,1.0,0,0.512499988079,3,70.0
1618582122311899818,958,1618582122311532706,,0.0,0.0,0.679665446281,0.0,0.0,-0.0367570891976,0.0,0.187875404954,0.404134482145,-8.31138324738,1.0,0,0.512499988079,3,70.0
1618582122344306781,959,1618582122343581006,,0.0,0.0,0.67854321003,-0.0323933362961,0.0,-0.033459674567,0.0,0.182215675712,0.36008515954,-8.32823467255,1.0,0,0.512499988079,3,70.0
1618582122378993264,960,1618582122378678656,,0.0,0.0,0.683511078358,-0.0367102883756,0.0,0.0,-0.049951095134,0.148070976138,0.499578118324,-8.04207706451,1.0,0,0.512499988079,3,70.0
1618582122411781715,961,1618582122411311933,,0.0,0.0,0.684600830078,-0.0399380400777,0.0,0.0,0.0,0.120617091656,0.474574059248,-8.22340202332,1.0,0,0.512499988079,3,70.0
1618582122444995476,962,1618582122444653205,,0.0,0.0,0.686373233795,-0.0416388548911,0.0,0.0,0.165313601494,0.129627019167,0.361481517553,-8.51650810242,1.0,0,0.512499988079,3,70.0
1618582122478710778,963,1618582122477766188,,0.0,0.0,0.687680721283,-0.0415964797139,0.0,0.0,0.219974949956,0.139472782612,0.269952565432,-8.60422992706,1.0,0,0.512499988079,3,70.0
1618582122512338644,964,1618582122511255784,,0.0,0.0,0.689476311207,-0.0429475493729,0.0,0.0,0.148774951696,0.1600612849,0.337496876717,-8.2170419693,1.0,0,0.512499988079,3,70.0
1618582122544968705,965,1618582122544598117,,0.0,0.0,0.691356182098,-0.0450284332037,0.0,0.0,0.167402565479,0.179114460945,0.323177188635,-8.21597290039,1.0,0,0.512499988079,3,70.0
1618582122578596547,966,1618582122578194385,,0.0,0.0,0.695654213428,-0.0439251996577,0.0,0.0368740037084,0.306093484163,0.153599321842,0.464463025331,-7.94527769089,1.0,0,0.512499988079,3,70.0
1618582122614398437,967,1618582122611323330,,-0.0318409800529,0.0,0.698231697083,-0.0394349247217,0.0,0.0415580011904,0.343294918537,0.146096780896,0.0780499875546,-8.83066749573,1.0,0,0.512499988079,3,70.0
1618582122645532394,968,1618582122644768584,,-0.0332830883563,0.0,0.699922978878,-0.0382900126278,0.0,0.0400805324316,0.250428855419,0.171433582902,0.355261057615,-7.91496419907,1.0,0,0.512499988079,3,70.0
