%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1618582121378229850,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121412873130,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121445249496,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121478844276,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121511886056,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121545665880,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121578384717,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121611742198,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121645110994,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121678576304,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121711914626,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121745760244,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121780706842,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121811900191,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121845056056,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121878800641,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121912033880,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121945682007,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582121979661558,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122011903028,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122044198429,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122080564840,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122113566003,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122145264068,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122178671370,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122210983533,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122245370346,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122279389242,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122311974299,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122344329302,0.0,0.0,0.699999988079,0.0,0.0,0.0
1618582122379059604,0.0,0.0,0.699999988079,0.0,0.0,0.0
