%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1618582121378199867,-0.00778080996737,-0.0175253638233,-0.0197744074512,0.0,0.0,0.104895090981
1618582121413080412,-0.0244515969534,-0.0198718549545,-0.0198177778411,0.0,0.0,0.104763642387
1618582121445462484,-0.00606217298635,-0.0160512513942,-0.0300117232013,0.0,0.0,0.104179807619
1618582121479031569,0.00614284490631,-0.0111749172693,-0.0419417916727,0.0,0.0,0.103596829948
1618582121512049467,-0.00571349214848,-0.0140940144727,-0.059747942335,0.0,0.0,0.102697734332
1618582121545687808,-0.0163344595932,-0.0171079628694,-0.0692231380194,0.0,0.0,0.102977197344
1618582121578507574,-0.0086435244645,-0.0106614873037,-0.0796854395252,0.0,0.0,0.105279720195
1618582121611866511,0.000640129810226,-0.0120564920569,-0.0867333320117,0.0,0.0,0.103115338281
1618582121645309177,-0.0103342349027,-0.0153088663926,-0.102225080857,0.0,0.0,0.102735541799
1618582121678851975,-0.0158355414595,-0.011538394526,-0.113062984795,0.0,0.0,0.101566605714
1618582121712124104,-0.0042213437401,-0.00721594560059,-0.112484874679,0.0,0.0,0.102576055422
1618582121746069497,0.00434114889435,0.00832199097762,-0.11754857069,0.0,0.0,0.100783722755
1618582121780733941,-0.00285375787099,0.00611296605631,-0.11093703738,0.0,0.0,0.102066959757
1618582121812052928,-0.0125604134323,0.00102816131596,-0.101212227996,0.0,0.0,0.102695163406
1618582121845197483,-0.0110623924228,-0.00234996320226,-0.090401081695,0.0,0.0,0.0997161177651
1618582121879076634,-0.00402997767142,0.000409477733552,-0.0975567537564,0.0,0.0,0.103154015545
1618582121912099379,-0.008007960565,0.00189148049602,-0.0969771053898,0.0,0.0,0.0990702412577
1618582121945748656,-0.0111832293893,-0.0029636301568,-0.091673451407,0.0,0.0,0.102077853821
1618582121979733776,-0.00389725785049,-0.00516445961447,-0.0111336176872,0.0,0.0,0.0994712641301
1618582122012060964,-0.00211053253446,-0.00230298018917,0.0390472543716,0.0,0.0,0.10074522282
1618582122044285170,-0.00131141162452,0.00757456663528,0.0463816672611,0.0,0.0,0.0996702659547
1618582122080583784,-0.00925108723351,0.00451515198101,0.0583312165689,0.0,0.0,0.10191034569
1618582122113628373,-0.0111760160971,-0.00785716688875,0.0798671368027,0.0,0.0,0.099211888227
1618582122145427561,-0.00818070356617,-0.0127437913595,0.0903628440475,0.0,0.0,0.100628829518
1618582122178680449,0.000427235668289,0.00801705264201,0.11674863909,0.0,0.0,0.100552844412
